block,block_Integer,block_Alphabet,block_alp_int
321,321,,0
325,325,,0
357,357,,0
241,241,,0
225A,225,A,1
462,462,,0
475,475,,0
528,528,,0
480,480,,0
514,514,,0
437,437,,0
451,451,,0
486,486,,0
199,199,,0
64,64,,0
153,153,,0
90,90,,0
224,224,,0
814,814,,0
283,283,,0
297,297,,0
848,848,,0
831,831,,0
281,281,,0
273,273,,0
916,916,,0
902,902,,0
921,921,,0
934,934,,0
268,268,,0
805,805,,0
833,833,,0
804,804,,0
903,903,,0
932,932,,0
151,151,,0
147,147,,0
85C,85,C,3
174,174,,0
195,195,,0
222,222,,0
741,741,,0
756,756,,0
390,390,,0
737,737,,0
726,726,,0
358,358,,0
421,421,,0
445,445,,0
587,587,,0
464,464,,0
557,557,,0
549,549,,0
624,624,,0
631,631,,0
572,572,,0
563,563,,0
552,552,,0
522,522,,0
614,614,,0
715,715,,0
714,714,,0
144,144,,0
335A,335,A,1
661,661,,0
269B,269,B,2
634,634,,0
730,730,,0
338,338,,0
349,349,,0
351,351,,0
353,353,,0
246,246,,0
521,521,,0
488,488,,0
478,478,,0
555,555,,0
556,556,,0
27A,27,A,1
23A,23,A,1
907,907,,0
282,282,,0
292,292,,0
935,935,,0
263,263,,0
933,933,,0
926,926,,0
922,922,,0
191,191,,0
732,732,,0
158,158,,0
727,727,,0
721,721,,0
284,284,,0
759,759,,0
858,858,,0
576,576,,0
578,578,,0
541,541,,0
623,623,,0
332,332,,0
423,423,,0
176,176,,0
181,181,,0
668,668,,0
364,364,,0
374,374,,0
350,350,,0
373,373,,0
381,381,,0
355,355,,0
219A,219,A,1
531,531,,0
483,483,,0
553,553,,0
909,909,,0
930,930,,0
915,915,,0
911,911,,0
931,931,,0
815,815,,0
194,194,,0
2A,2,A,1
754,754,,0
749,749,,0
618,618,,0
92,92,,0
628,628,,0
472,472,,0
39A,39,A,1
23B,23,B,2
806,806,,0
837,837,,0
290,290,,0
296,296,,0
857,857,,0
735,735,,0
746,746,,0
649,649,,0
635,635,,0
636,636,,0
367,367,,0
360,360,,0
376,376,,0
854,854,,0
288,288,,0
747,747,,0
738,738,,0
768,768,,0
757,757,,0
467,467,,0
562,562,,0
617,617,,0
627,627,,0
361,361,,0
368,368,,0
370,370,,0
479,479,,0
168A,168,A,1
852,852,,0
745,745,,0
771,771,,0
766,766,,0
773,773,,0
755,755,,0
758,758,,0
577,577,,0
619,619,,0
720,720,,0
377,377,,0
356,356,,0
842,842,,0
453,453,,0
803,803,,0
937,937,,0
762,762,,0
739,739,,0
774,774,,0
760,760,,0
366,366,,0
269A,269,A,1
375,375,,0
844,844,,0
48A,48,A,1
734,734,,0
778,778,,0
197,197,,0
369,369,,0
322A,322,A,1
929,929,,0
830,830,,0
856,856,,0
764,764,,0
744,744,,0
684,684,,0
908,908,,0
765,765,,0
686,686,,0
683,683,,0
840,840,,0
783,783,,0
784,784,,0
750,750,,0
770,770,,0
495,495,,0
835,835,,0
685,685,,0
682,682,,0
853,853,,0
753,753,,0
781,781,,0
775,775,,0
657,657,,0
776,776,,0
498,498,,0
824,824,,0
847,847,,0
378,378,,0
645,645,,0
221A,221,A,1
681,681,,0
841,841,,0
